	E_dermatitidis_DCF04.aa	E_dermatitidis_NIHUT8656.aa
Number of genes	9535	9285
Number of genes in orthogroups	8830	8810
Number of unassigned genes	705	475
Percentage of genes in orthogroups	92.6	94.9
Percentage of unassigned genes	7.4	5.1
Number of orthogroups containing species	8266	8261
Percentage of orthogroups containing species	99.9	99.9
Number of species-specific orthogroups	10	5
Number of genes in species-specific orthogroups	34	24
Percentage of genes in species-specific orthogroups	0.4	0.3


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups
'0	5	10
'1	7873	7883
'2	290	276
'3	61	63
'4	27	21
'5	9	11
'6	3	3
'7	1	3
'8	2	1
'9	0	0
'10	0	0
11-15	0	0
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups
'0	0.1	0.1
'1	95.2	95.3
'2	3.5	3.3
'3	0.7	0.8
'4	0.3	0.3
'5	0.1	0.1
'6	0.0	0.0
'7	0.0	0.0
'8	0.0	0.0
'9	0.0	0.0
'10	0.0	0.0
11-15	0.0	0.0
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes
'0	0	0
'1	7873	7883
'2	580	552
'3	183	189
'4	108	84
'5	45	55
'6	18	18
'7	7	21
'8	16	8
'9	0	0
'10	0	0
11-15	0	0
16-20	0	0
21-50	0	0
51-100	0	0
101-150	0	0
151-200	0	0
201-500	0	0
501-1000	0	0
'1001+	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes
'0	0.0	0.0
'1	82.6	84.9
'2	6.1	5.9
'3	1.9	2.0
'4	1.1	0.9
'5	0.5	0.6
'6	0.2	0.2
'7	0.1	0.2
'8	0.2	0.1
'9	0.0	0.0
'10	0.0	0.0
11-15	0.0	0.0
16-20	0.0	0.0
21-50	0.0	0.0
51-100	0.0	0.0
101-150	0.0	0.0
151-200	0.0	0.0
201-500	0.0	0.0
501-1000	0.0	0.0
'1001+	0.0	0.0
